Index	Timecode	Active Area Aspect Ratio	Anamorphic Lens Squeeze Ratio	Aperture Ring T Stop Position	Aperture Value	Aspect Ratio	Audio Bit Depth	Audio Codec	Audio Sampling Rate	Auto Exposure Mode	Auto Focus Sensing Area Setting	Auto White Balance Mode	Camera	Camera Attributes	Camera Knee Point	Camera Knee Slope	Camera Master Black Level	Camera Master Gain Adjustment	Camera Roll Angle	Camera Tilt Angle	Capture FPS	Capture Gamma Equation	Color For Look	Color Primaries	Cooke Distortion Mapping	Cooke Inertial Data	Cooke Protocol User Metadata	Creation Date	Current Focal Length	Drop Frame	Duration	Effective Marker Aspect Ratio	Electrical Extender Magnification	Embedded 3DLUT	End	Entrance Pupil Position	Exposure Index	Far Focus Distance	Focus Distance	Focus Position From Image Plane	Focus Ring Position	Format FPS	Gamma For Look	Gamma for CDL	Horizontal Field of View	Hyperfocal Distance	ISO Sensitivity	Image Orientation	Image Sensor Dimension Effective Height	Image Sensor Dimension Effective Width	Image Sensor Readout Mode	Iris F-Number	Iris Ring Position	Iris T-Number	LED Wall Color Temperature	LED Wall Moire Alert Level	Lens Attributes	Lens Serial Number	Lens Zoom 35mm Still Camera Equivalent	Lens Zoom Actual Focal Length	Light Blend Ratio with LED Wall	Look Process Baked	Macro Setting	Monitoring Base Curve	Monitoring Characteristics	Monitoring Coding Equations	Monitoring Color Primaries	Monitoring Descriptions	ND Filter Wheel	Near Focus Distance	Normalised Zoom Value	Number of Audio Channels	Optical Extender Magnification	Pixel Aspect Ratio	Post-CDL Transform	Pre-CDL Transform	Raw Black Code	Raw Gray Code	Raw White Code	Resolution	Rotary Shutter Mode	Shutter Speed Angle	Shutter Speed Time	Start	Sub Sampling	Tint Correction	UMID	User Frame Line1	User Frame Line2	Video Bit Depth	Video Codec	Video Signal	White Balance	ZEISS eXtended Data	Zoom Ring Position	
11	02:42:57:06	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
12	02:42:57:07	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
13	02:42:57:08	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
14	02:42:57:09	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
15	02:42:57:10	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
16	02:42:57:11	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31708				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
17	02:42:57:12	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	0.90000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
18	02:42:57:13	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	0.90000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
19	02:42:57:14	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
20	02:42:57:15	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
21	02:42:57:16	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.60000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
22	02:42:57:17	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.40000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
23	02:42:57:18	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.40000	1.10000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
24	02:42:57:19	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
25	02:42:57:20	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
26	02:42:57:21	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31708				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
27	02:42:57:22	6048:4032				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3626 0010027 Version3.00				0.00dB	-0.50000	1.00000	24p	scene-linear	s-gamut3-cine					2025-07-24 17:53:04		NDF	00:00:37:20	6048:4032	100%	SL3SG3Ctos709.cube	02:43:34:15		2500				65535	24p	s-log3-cine	rec709			2500	normal	23950um	35925um	ProgressiveFrame	7.96	31710				200 T2.5    CMot		200mm	200mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	1/8			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	6048x4032		172.50deg	1/50sec	02:42:56:20		0.00000	060A2B340101010501010D431300000027E8C45E800806CF143FA6FFFE70E4F9	5478x3830+0+0	5482x2284+0+0		X-OCN XT		5600		32768	
